Name,Birth Date,Biography,Nationality
"Christie, Agatha",32-13-2000,,British
"Christie, Agatha",1954-01-25,"Bio of Christie, Agatha",British
George Orwell,1900-11-07,Bio of George Orwell,British
"Orwell, George",32-13-2000,"Bio of Orwell, George",British
"Rowling, J.K.",1987-03-06,,British
George Orwell,1973-07-21,Bio of George Orwell,British
J.K. Rowling,32-13-2000,Bio of J.K. Rowling,British
George Orwell,1975-12-28,Bio of George Orwell,British
Agatha Christie,1935-03-15,,British
Agatha Christie,32-13-2000,Bio of Agatha Christie,British
"Christie, Agatha",1954-01-25,"Bio of Christie, Agatha",British
Jane Austen,1775-12-16,Bio of Jane Austen,British
"Austen, Jane",invalid-date,Bio of Austen, Jane,British
Jane Austen,1817-07-18,,British
Mark Twain,1835-11-30,Bio of Mark Twain,American
"Twain, Mark",32-01-1835,,American
Mark Twain,1910-04-21,Bio of Mark Twain,American
Leo Tolstoy,1828-09-09,Bio of Leo Tolstoy,Russian
Tolstoy, Leo,32-13-1828,,Russian
Ernest Hemingway,1899-07-21,Bio of Ernest Hemingway,American
Hemingway, Ernest,wrong-date,Bio of Hemingway, Ernest,American
Ernest Hemingway,1961-07-02,,American
Virginia Woolf,1882-01-25,Bio of Virginia Woolf,British
"Woolf, Virginia",32-13-1882,Bio of Woolf, Virginia,British
James Joyce,1882-02-02,Bio of James Joyce,Irish
"Joyce, James",32-13-1882,,Irish
James Joyce,1941-01-13,Bio of James Joyce,Irish
Oscar Wilde,1854-10-16,Bio of Oscar Wilde,Irish
Wilde, Oscar,32-13-1854,Bio of Wilde, Oscar,Irish
Oscar Wilde,1900-11-30,,Irish
F. Scott Fitzgerald,1896-09-24,Bio of Fitzgerald,American
Fitzgerald, F. Scott,32-13-1896,,American
F. Scott Fitzgerald,1940-12-21,Bio of Fitzgerald,American
Emily Brontë,1818-07-30,Bio of Emily Brontë,British
Brontë, Emily,wrong-date,,British
Emily Brontë,1848-12-19,Bio of Emily Brontë,British
George Eliot,1819-11-22,Bio of George Eliot,British
Eliot, George,invalid,Bio of Eliot, George,British
George Eliot,1880-12-22,,British
Mary Shelley,1797-08-30,Bio of Mary Shelley,British
Shelley, Mary,32-13-1797,Bio of Shelley, Mary,British
Mary Shelley,1851-02-01,,British
Charles Dickens,1812-02-07,Bio of Charles Dickens,British
Dickens, Charles,wrong-date,Bio of Dickens, Charles,British
Charles Dickens,1870-06-09,,British
